//Linie,Richtung,Endstation,Wochentage,Stunde,Minute,,,
//-,,"(0 = standard, 1,2,3,... alternative)","63=wochentags, 64 = samstags , 128 = Sonntags",-,-,,,
U3,nord,Hohemark,0b00100000,14,7,22,37,52
U3,nord,Hohemark,0b00100000,15,7,22,37,52
U3,nord,Hohemark,0b00100000,16,7,22,37,52
U3,nord,Hohemark,0b00100000,17,7,22,37,52
U3,nord,Hohemark,0b00100000,18,7,22,37,52
U3,nord,Hohemark,0b00100000,19,7,37,,
U3,nord,Hohemark,0b00100000,20,10,40,,
U3,nord,Hohemark,0b00100000,21,10,40,,
U3,nord,Hohemark,0b00100000,22,10,40,,
U3,nord,Hohemark,0b00100000,23,10,40,,
//Sonntags,,,,,,,,
U3,nord,Oberursel Bhf,0b01000000,0,5,,,
U3,nord,Hohemark,0b01000000,0,10,37,,
U3,nord,Hohemark,0b01000000,4,39,,,
U3,nord,Hohemark,0b01000000,5,9,37,,
U3,nord,Hohemark,0b01000000,6,7,37,,
U3,nord,Hohemark,0b01000000,7,7,37,,
U3,nord,Hohemark,0b01000000,8,7,37,,
U3,nord,Hohemark,0b01000000,9,7,37,,
U3,nord,Hohemark,0b01000000,10,10,40,,
U3,nord,Hohemark,0b01000000,11,10,40,,
U3,nord,Hohemark,0b01000000,12,10,40,,
U3,nord,Hohemark,0b01000000,13,10,40,,
U3,nord,Hohemark,0b01000000,14,10,40,,
U3,nord,Hohemark,0b01000000,15,10,40,,
U3,nord,Hohemark,0b01000000,16,10,40,,
U3,nord,Hohemark,0b01000000,17,10,40,,
U3,nord,Hohemark,0b01000000,18,10,40,,
U3,nord,Hohemark,0b01000000,19,10,40,,
U3,nord,Hohemark,0b01000000,20,10,40,,
U3,nord,Hohemark,0b01000000,21,10,40,,
U3,nord,Hohemark,0b01000000,22,10,40,,
U3,nord,Hohemark,0b01000000,23,10,40,,
,,,,,,,,
,,,,,,,,
//U8 Richtung Suedbahnhof,,,,,,,,
// Wochentags,,,,,,,,
U8,sued,Suedbahnhof,0b00011111,0,8,38,,
U8,sued,Heddernheim,0b00011111,0,20,,,
U8,sued,Heddernheim,0b00011111,1,8,38,,
U8,sued,Suedbahnhof,0b00011111,4,38,,,
U8,sued,Suedbahnhof,0b00011111,5,8,31,46,
U8,sued,Suedbahnhof,0b00011111,6,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,7,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,8,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,9,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,10,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,11,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,12,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,13,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,14,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,15,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,16,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,17,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,18,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,19,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,20,1,16,31,46
U8,sued,Suedbahnhof,0b00011111,21,8,23,38,53
U8,sued,Suedbahnhof,0b00011111,22,8,23,38,53
U8,sued,Suedbahnhof,0b00011111,23,8,23,38,
U8,sued,Heddernheim,0b00011111,23,50,,,
//Samstags,,,,,,,,
U8,sued,Suedbahnhof,0b00100000,0,8,38,,
U8,sued,Heddernheim,0b00100000,0,20,,,
U8,sued,Heddernheim,0b00100000,1,8,38,,
U8,sued,Suedbahnhof,0b00100000,4,38,,,
U8,sued,Suedbahnhof,0b00100000,5,8,38,,
U8,sued,Suedbahnhof,0b00100000,6,8,38,,
U8,sued,Suedbahnhof,0b00100000,7,8,38,,
U8,sued,Suedbahnhof,0b00100000,8,8,31,46,
U8,sued,Suedbahnhof,0b00100000,9,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,10,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,11,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,12,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,13,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,14,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,15,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,16,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,17,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,18,1,16,31,46
U8,sued,Suedbahnhof,0b00100000,19,8,23,38,53
U8,sued,Suedbahnhof,0b00100000,20,8,23,38,53
U8,sued,Suedbahnhof,0b00100000,21,8,23,38,53
U8,sued,Suedbahnhof,0b00100000,22,8,23,38,53
U8,sued,Suedbahnhof,0b00100000,23,8,23,38,
U8,sued,Heddernheim,0b00100000,23,50,,,
//Sonntags,,,,,,,,
U8,sued,Suedbahnhof,0b01000000,0,8,38,,
U8,sued,Heddernheim,0b01000000,0,20,,,
U8,sued,Heddernheim,0b01000000,1,8,38,,
U8,sued,Suedbahnhof,0b01000000,5,8,38,,
U8,sued,Suedbahnhof,0b01000000,6,8,38,,
U8,sued,Suedbahnhof,0b01000000,7,8,38,,
U8,sued,Suedbahnhof,0b01000000,8,8,38,,
U8,sued,Suedbahnhof,0b01000000,9,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,10,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,11,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,12,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,13,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,14,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,15,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,16,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,17,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,18,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,19,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,20,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,21,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,22,8,23,38,53
U8,sued,Suedbahnhof,0b01000000,23,8,23,38,
U8,sued,Heddernheim,0b01000000,23,50,,,
,,,,,,,,
//U8 Richtung Riedberg,,,,,,,,
// Wochentags,,,,,,,,
U8,nord,Riedberg,0b00011111,0,7,22,52,
U8,nord,Riedberg,0b00011111,1,22,,,
U8,nord,Riedberg,0b00011111,4,24,52,,
U8,nord,Riedberg,0b00011111,5,9,22,39,52
U8,nord,Riedberg,0b00011111,6,14,29,44,59
U8,nord,Riedberg,0b00011111,7,14,29,44,59
U8,nord,Riedberg,0b00011111,8,14,29,44,59
U8,nord,Riedberg,0b00011111,9,14,29,42,57
U8,nord,Riedberg,0b00011111,10,12,27,42,57
