"//Linie","Richtung","Endstation","Wochentage","Stunde","Minute",,,,,,,
"//-",,"(0 = standard, 1,2,3,... alternative)","63=wochentags, 64 = samstags , 128 = Sonntags","-","-",,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"//U3 Richtung Hohemark",,,,,,,,,,,,
,,,,,,,,,,,,
"// Wochentags",,,,,,,,,,,,
"U9","sued","Ginnheim","0b01000000",19,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",20,3,18,33,48,,,,
"U9","sued","Ginnheim","0b01000000",21,3,18,48,,,,,
"U9","sued","Ginnheim","0b01000000",22,18,48,,,,,,
"U9","sued","Ginnheim","0b01000000",23,18,48,,,,,,
"U9","sued","Ginnheim","0b00000001",0,18,48,,,,,,
"U9","sued","Ginnheim","0b00000001",1,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"// Wochentags",,,,,,,,,,,,
"U9","nord","N-Eschbach","0b00011111",2,,,,,,,,
"U9","nord","N-Eschbach","0b00011111",3,,,,,,,,
"U9","nord","N-Eschbach","0b00011111",4,40,,,,,,,
"U9","nord","N-Eschbach","0b00011111",5,10,40,55,,,,,
"U9","nord","N-Eschbach","0b00011111",6,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",7,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",8,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",9,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",10,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",11,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",12,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",13,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",14,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",15,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",16,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",17,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",18,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",19,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00011111",20,10,25,40,,,,,
"U9","nord","N-Eschbach","0b00011111",21,10,43,,,,,,
"U9","nord","N-Eschbach","0b00011111",22,13,43,,,,,,
"U9","nord","N-Eschbach","0b00011111",23,13,43,,,,,,
"U9","nord","N-Eschbach","0b00111110",0,13,43,,,,,,
"U9","nord","N-Eschbach","0b00111110",1,,,,,,,,
,,,,,,,,,,,,
"//Samstags",,,,,,,,,,,,
"U9","nord","N-Eschbach","0b00100000",4,,,,,,,,
"U9","nord","N-Eschbach","0b00100000",5,13,43,,,,,,
"U9","nord","N-Eschbach","0b00100000",6,13,43,,,,,,
"U9","nord","N-Eschbach","0b00100000",7,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",8,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",9,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",10,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",11,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",12,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",13,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",14,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",15,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",16,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",17,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",18,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",19,10,25,40,55,,,,
"U9","nord","N-Eschbach","0b00100000",20,13,28,43,,,,,
"U9","nord","N-Eschbach","0b00100000",21,13,43,,,,,,
"U9","nord","N-Eschbach","0b00100000",22,13,43,,,,,,
"U9","nord","N-Eschbach","0b00100000",23,13,43,,,,,,
"U9","nord","N-Eschbach","0b01000000",0,13,43,,,,,,
"U9","nord","N-Eschbach","0b01000000",1,,,,,,,,
,,,,,,,,,,,,
"//Sonntags",,,,,,,,,,,,
"U9","nord","N-Eschbach","0b01000000",4,,,,,,,,
"U9","nord","N-Eschbach","0b01000000",5,13,43,,,,,,
"U9","nord","N-Eschbach","0b01000000",6,13,43,,,,,,
"U9","nord","N-Eschbach","0b01000000",7,13,43,,,,,,
"U9","nord","N-Eschbach","0b01000000",8,13,43,58,,,,,
"U9","nord","N-Eschbach","0b01000000",9,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",10,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",11,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",12,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",13,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",14,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",15,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",16,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",17,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",18,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",19,13,28,43,58,,,,
"U9","nord","N-Eschbach","0b01000000",20,13,28,43,,,,,
"U9","nord","N-Eschbach","0b01000000",21,13,43,,,,,,
"U9","nord","N-Eschbach","0b01000000",22,13,43,,,,,,
"U9","nord","N-Eschbach","0b01000000",23,13,43,,,,,,
"U9","nord","N-Eschbach","0b00000001",0,13,43,,,,,,
"U9","nord","N-Eschbach","0b00000001",1,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"// Wochentags",,,,,,,,,,,,
"U3/U8","sued","Suedbahnhof","0b00011111",3,58,,,,,,,
"U3/U8","sued","Suedbahnhof","0b00011111",4,8,23,38,53,56,,,
"U3/U8","sued","Suedbahnhof","0b00011111",5,8,23,26,38,46,53,,
"U3/U8","sued","Suedbahnhof","0b00011111",6,1,8,16,23,31,38,46,53
"U3/U8","sued","Suedbahnhof","0b00011111",7,1,8,16,23,31,38,46,53
"U3/U8","sued","Suedbahnhof","0b00011111",8,1,8,16,23,31,38,46,52
"U3/U8","sued","Suedbahnhof","0b00011111",9,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00011111",10,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00011111",11,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00011111",12,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00011111",13,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00011111",14,1,7,16,22,31,37,46,52
"U3/U8","sued","Suedbahnhof","0b00011111",15,1,7,16,23,31,38,46,53
"U3/U8","sued","Suedbahnhof","0b00011111",16,1,8,16,23,31,38,46,53
"U3/U8","sued","Suedbahnhof","0b00011111",17,1,8,16,23,31,38,46,53
"U3/U8","sued","Suedbahnhof","0b00011111",18,1,8,16,23,31,38,46,53
